"zipcode","percentSingleFemHHWithKids","percentBlackHH","percentPoorHH","percentTTUnder15Min","totalIndividuals","perCapitaIncome"
"00901",9.24179554884949,12.3349679366277,42.4,44.3433769187038,7080,25359.2495918367
"00906",0,0,0,50,4,
"00907",7.81120943952802,11.3510324483776,22.9,37.738301559792,17458,48715.1046684768
"00909",18.0625241219606,17.869548436897,48.1,28.7569573283859,6230,15600.2519855596
"00911",6.00104821802935,11.6090146750524,25.4,36.2662337662338,8623,31662.2036338704
"00912",13.7525354969574,27.2616632860041,43,28.7591805179745,6801,15648.1462113127
"00913",25.3134328358209,24.6865671641791,69.5,21.6300940438871,9312,14416.7896995708
"00915",18.0680386392272,28.6182276354473,58.9,17.9890192701044,32820,9519.9751005117
"00917",9.84369406992006,14.0794654575826,45.1,22.9055394475813,21053,16404.1311192581
"00918",12.3127035830619,6.60586319218241,33.9,34.0111766532133,18056,31311.1288348921
"00920",8.59021783806001,18.0435676120016,29.4,22.5108833029069,17893,21806.8193050193
"00921",16.6429283577838,26.4207377866401,42.7,25.3840278367139,37763,16519.4170783345
"00923",14.6165110745012,17.7192019037159,49.2,16.6930379746835,29086,14649.5415688116
"00924",21.6095380029806,19.2498758072529,42.8,15.6621751141681,56691,16358.1428326377
"00925",7.67900380491179,19.0245589761328,46.7,25.4571026722925,8696,8555.99971992718
"00926",9.78501052850495,8.35781319052695,23.5,12.4508995684011,108862,29937.752013108
"00927",9.23202614379085,8.79084967320262,16.6,23.7291086350975,14936,42902.7919991709
